execution_count,companyId,companyName,month
3130,2089,VIRTUALTEK,2025-04
20,2121,VITAMINWORLD,2025-04
162356,95,Veris,2025-04
190,1860,Vitapro,2025-04
248,1133,Vivalia,2025-04
423043,1696,XTRIM,2025-04
2,1220,Yalti Solutions,2025-04
22162,353,Yomp,2025-04
37,1964,ZHM Seguros,2025-04
160,2236,11 Gallery Tattoo,2025-05
51426,312,ABInBev Colombia,2025-05
10,1102,Agritop,2025-05
2014,2031,Alpha Trading,2025-05
344,462,Ambiente QA,2025-05
13,1896,Arca Continental Argentina,2025-05
28,2292,Arca MX Atencion AC,2025-05
170128,362,Arca PE,2025-05
192,1068,Arca PE Ecommerce,2025-05
28709,470,Arca PE Proyecto Frío,2025-05
271,1940,Arca camiones,2025-05
57,1849,Arca movil,2025-05
603,2233,Arca pe Turbo,2025-05
75,317,Aurea,2025-05
4,1639,Automation QA Test,2025-05
8697,2183,Automekano,2025-05
178147,1974,BCP Cobranza,2025-05
351,1973,BCP Sendsei,2025-05
13936,1245,BG - Banco del Barrio 2,2025-05
35689,741,Bajaj,2025-05
7492,1584,Banco Comercial Manabí,2025-05
93,1993,Banco Delta,2025-05
2491639,155,Banco Guayaquil,2025-05
1,424,Banco Internacional,2025-05
5182,1737,Banco Union,2025-05
4503,417,Banisi,2025-05
155391,692,Banisi Chat,2025-05
642,11,BdP,2025-05
36,2079,Borja Cedeño Olga Raquel,2025-05
125,1649,Bruno,2025-05
27,2047,CBC,2025-05
7008,1848,CIVE,2025-05
91,2030,COLLSERV,2025-05
6,2111,Calle Tenorio Jorge David,2025-05
1533,316,CasaPlan MotorPlan,2025-05
24491,138,Cervecería Nacional,2025-05
53,75,Chubb,2025-05
153,1898,Cibernetica,2025-05
63432,1559,Coca Cola en tu hogar,2025-05
75,2048,Coca-Cola FEMSA,2025-05
41923,2255,Computron,2025-05
622,2049,Conauto,2025-05
192,1992,Contapro BCP,2025-05
1708,1694,Cooperativa Daquilema,2025-05
23806,855,Cooperativa El Sagrario,2025-05
3,1881,Cooperativa Policía Nacional,2025-05
295,2241,Coral Hipermercados,2025-05
852,2130,Cresa,2025-05
329,1760,Danec,2025-05
506,35,Datafast,2025-05
882,1926,Datilmedia S.A.,2025-05
43,1531,Dave The Magical Cheese Wizard,2025-05
199,2309,Demo Pocket Retail,2025-05
21,2230,Demo partners,2025-05
277865,150,Deprati,2025-05
1404,5,DevLab,2025-05
670,1512,Dialogus,2025-05
22743,110,Dipaso,2025-05
89,1304,Doctorio,2025-05
1696,2073,Donutterapia,2025-05
734,2235,Dreamers Fútbol Club,2025-05
2998,1945,Duragas,2025-05
22,2254,ESCUELA DE FOTOGRAFOS,2025-05
101,1053,EclipSoft,2025-05
1486,2110,Ecugenius S.A.,2025-05
16728,28,El Rosado,2025-05
3,1160,Expand,2025-05
37,1828,FD CENTER,2025-05
71,1951,FPV Seguros,2025-05
177,121,Facephi<>Peigo,2025-05
47,2276,Falabella,2025-05
528,2032,Figueroa Merchan Jose Luis,2025-05
159,1758,Finanza AI,2025-05
42910,1937,Flexi,2025-05
5,423,GEA Costa Rica,2025-05
157943,124,GEA Ecuador,2025-05
6,305,GEA Guatemala,2025-05
11,422,GEA Honduras,2025-05
8,2312,GRUPASA,2025-05
7,1280,Gea Colombia,2025-05
1312,2095,Gigmax,2025-05
7,2291,GreenLife,2025-05
42,2100,Holaenfermera-Ec S.A.S.,2025-05
2269,1925,INDI BCP,2025-05
17,368,Innovat Latam.,2025-05
54,2139,Intervalores,2025-05
707,1955,Italika,2025-05
697,1957,Jelou Banking,2025-05
854,135,Jelou Dev,2025-05
464,1944,Jelou Marketplace,2025-05
25932,361,Jelou Pay,2025-05
747,331,Jelou Producto,2025-05
1243,322,Jelou Shop,2025-05
81,2025,KIVETI S.A.,2025-05
10,2029,KPI Digital,2025-05
44,1266,Katherine del Carmen Ovando,2025-05
97,1718,Kaufmann,2025-05
2,2253,LABORATORIOS ASIMED ASIMEDLAB,2025-05
32,997,La Finestra SAS,2025-05
101,1988,La casa de los abuelos,2025-05
1234,935,Lavca,2025-05
10,2053,Lopez Lopez Jaime Fernando,2025-05
3739,2125,Lotería Nacional EC,2025-05
2,1798,Luz Verde Cobranza,2025-05
1856,258,Luzverde,2025-05
80,2044,M&C Travel S.A,2025-05
8,2298,MAYA PIONEER,2025-05
