companyId,week_end_sunday,conversationType,event_count,billable_count
54,2026-01-25,MARKETING_LITE,25,25
54,2026-01-25,UTILITY,3161,2897
54,2026-02-01,MARKETING_LITE,13,13
54,2026-02-01,UTILITY,1585,1364
54,2026-02-08,MARKETING_LITE,6,6
54,2026-02-08,UTILITY,1669,1408
54,2026-02-15,MARKETING_LITE,38030,38030
54,2026-02-15,UTILITY,1869,1555
54,2026-02-22,MARKETING_LITE,89,89
54,2026-02-22,UTILITY,1659,1404
54,2026-03-01,MARKETING,24872,14317
54,2026-03-01,MARKETING_LITE,13112,13112
54,2026-03-01,UTILITY,3138,2830
54,2026-03-08,MARKETING,13182,8024
54,2026-03-08,MARKETING_LITE,20,20
54,2026-03-08,UTILITY,556,475
75,2025-07-06,MARKETING_LITE,62,62
75,2025-07-06,UTILITY,1322,760
75,2025-07-13,MARKETING_LITE,537,537
75,2025-07-13,UTILITY,1585,911
75,2025-07-20,MARKETING_LITE,3289,3289
75,2025-07-20,UTILITY,1563,815
75,2025-07-27,MARKETING_LITE,38,38
75,2025-07-27,UTILITY,1568,795
75,2025-08-03,MARKETING_LITE,61,61
75,2025-08-03,UTILITY,1623,953
75,2025-08-10,MARKETING_LITE,59,59
75,2025-08-10,UTILITY,1301,724
75,2025-08-17,MARKETING_LITE,148,148
75,2025-08-17,UTILITY,1540,850
75,2025-08-24,MARKETING_LITE,1557,1557
75,2025-08-24,UTILITY,1527,885
75,2025-08-31,MARKETING_LITE,59,59
75,2025-08-31,UTILITY,1341,712
75,2025-09-07,MARKETING_LITE,53,53
75,2025-09-07,UTILITY,1465,829
75,2025-09-14,MARKETING_LITE,56,56
75,2025-09-14,UTILITY,1351,753
75,2025-09-21,MARKETING_LITE,152,152
75,2025-09-21,UTILITY,1262,732
75,2025-09-28,MARKETING_LITE,1123,1123
75,2025-09-28,UTILITY,1064,685
75,2025-10-05,MARKETING_LITE,297,297
75,2025-10-05,UTILITY,1127,717
75,2025-10-12,MARKETING_LITE,198,198
75,2025-10-12,UTILITY,1214,694
75,2025-10-19,MARKETING_LITE,234,234
75,2025-10-19,UTILITY,1292,852
75,2025-10-26,MARKETING_LITE,170,170
75,2025-10-26,UTILITY,1198,716
75,2025-11-02,MARKETING_LITE,1984,1984
75,2025-11-02,UTILITY,1427,867
75,2025-11-09,MARKETING_LITE,181,181
75,2025-11-09,UTILITY,1215,749
75,2025-11-16,MARKETING_LITE,190,190
75,2025-11-16,UTILITY,1201,732
75,2025-11-23,MARKETING_LITE,2233,2233
75,2025-11-23,UTILITY,1249,735
75,2025-11-30,MARKETING_LITE,214,214
75,2025-11-30,UTILITY,1495,883
75,2025-12-07,MARKETING_LITE,192,185
75,2025-12-07,UTILITY,1293,777
75,2025-12-14,MARKETING_LITE,308,292
75,2025-12-14,UTILITY,1413,817
75,2025-12-21,MARKETING_LITE,152,144
75,2025-12-21,UTILITY,1261,760
75,2025-12-28,MARKETING_LITE,1400,1395
75,2025-12-28,UTILITY,1122,607
75,2026-01-04,MARKETING_LITE,130,118
75,2026-01-04,UTILITY,1087,644
75,2026-01-11,MARKETING_LITE,176,165
75,2026-01-11,UTILITY,1380,858
75,2026-01-18,MARKETING_LITE,215,207
75,2026-01-18,UTILITY,1499,827
75,2026-01-25,MARKETING_LITE,1801,1797
75,2026-01-25,UTILITY,1294,783
75,2026-02-01,MARKETING_LITE,209,209
